ainbhiosach_a	ainbhiosach	aid	1328	ainfesach
ainbhiosán_nm	ainbhiosán	fir	1355	ainfisán
ainbhreith_nf	ainbhreith	bain	1179	ainbreith
ainbhreitheach_a	ainbhreitheach	aid	1180	ainbrethach
aincheart_nm	aincheart	fir	1193	ainchert
aincheas_nm	aincheas	fir	1190	ainces
ainchreideamh_nm	ainchreideamh	fir	1202	ainc(h)reitem
ainchreidmheach_a	ainchreidmheach	aid	1203	ainc(h)reitmech
ainchreidmheach_nm	ainchreidmheach	fir	1203	ainc(h)reitmech
Ainchríost_nm	Ainchríost	fir	1206	Ainc(h)rist
Ainchríost_nm	Ainchríost	fir	1551	Ainticríst
ainchríostaí_nm	ainchríostaí	fir	1207	ainchrístaide
ainchríostúil_a	ainchríostúil	aid	1209	ainchrístamail
aincis_nf	aincis	bain	1190	ainces
ainciseach_a	ainciseach	aid	1191	aincesach
aindia_nm	aindia	fir	1227	aindía
aindiaga_a	aindiaga	aid	1228	aindíada
aindílis_a	aindílis	aid	1236	aindíles
aindiúid_nf	aindiúid	bain	1244	aindiúit
aindleathach_a	aindleathach	aid	1254	aindligthech
aindleathach_a	aindleathach	aid	28476	indligthech
aindlí_nm	aindlí	fir	28475	indliged
aindlíthiúil_a	aindlíthiúil	aid	28476	indligthech
aineagna_nf	aineagna	bain	1276	ainecnaid
áineas_nm	áineas	fir	1424	áinius
áineasach_a	áineasach	aid	1303	áinesach
ainéasca_a	ainéasca	aid	1304	ainéscaid
aineascair_a	aineascair	aid	1528	ainshescar
ainéide_nf	ainéide	bain	1308	ainétgud
aineoil_a	aineoil	aid	1294	aineóil
aineolach_a	aineolach	aid	1297	aineólach
aineolas_nm	aineolas	fir	1298	aineólas
ainfhéile_nf	ainfhéile	bain	1321	ainféile
ainfheoil_nf	ainfheoil	bain	1324	ainfeóil
ainfhial_a	ainfhial	aid	1340	ainfíal
ainfhíor_a	ainfhíor	aid	1348	ainfír
ainfhíréan_nm	ainfhíréan	fir	1350	ainfírén
ainfhírinne_nf	ainfhírinne	bain	1352	ainfírinne
ainfhreagrach_a	ainfhreagrach	aid	1357	ainfrecarthach
aingeal1_nm	aingeal^1	fir	1364	1 aingel
aingeal2_nm	aingeal^2	fir	1365	2 aingel
ainghléas_nm	ainghléas	fir	1375	ainglés
ainghníomh_nm	ainghníomh	fir	1381	aingním
aingí_a	aingí	aid	3494	an(d)gaid
aingíocht_nf	aingíocht	bain	1372	aingidecht
ainglí_a	ainglí	aid	1378	ainglide
ainiarmhairt_nf	ainiarmhairt	bain	1383	ainíarmairt
ainiarmhartach_a	ainiarmhartach	aid	1384	ainíarmartach
ainiarsma_nf	ainiarsma	bain	1386	ainíarsma
ainimh_nf	ainimh	bain	1400	ainim
ainimh_nf	ainimh	bain	14242	dainim
ainimheach_a	ainimheach	aid	14243	dainmech
ainimheach_a	ainimheach	aid	1439	ainmech
ainimhigh_v	ainimhigh	br	1459	ainmid
ainiocht_nm	ainiocht	fir	1388	ainicht
ainiochtach_a	ainiochtach	aid	1389	ainichtach
ainiomad_nm	ainiomad	fir	1404	ainimmat
ainionracas_nm	ainionracas	fir	1417	aininnracas
ainionraic_a	ainionraic	aid	1418	aininnraic
ainiontach_a	ainiontach	aid	1409	ainingantach
ainís_nf	ainís	bain	1421	1 ainis
